"日時","貯水率","流入量","放流量"
"2024/06/11 00:00",100,1.83,1.84
"2024/06/10 23:00",100,1.83,1.82
"2024/06/10 22:00",100,1.83,1.83
"2024/06/10 21:00",100,1.84,1.83
"2024/06/10 20:00",100,1.84,1.82
"2024/06/10 19:00",100,1.83,1.82
"2024/06/10 18:00",100,0.23,1.84
"2024/06/10 17:00",100,1.97,1.97
"2024/06/10 16:00",100,1.97,1.95
"2024/06/10 15:00",100,1.97,1.96
"2024/06/10 14:00",100,1.97,1.98
"2024/06/10 13:00",100,1.97,1.99
"2024/06/10 12:00",100,1.99,1.97
"2024/06/10 11:00",100,2.25,1.83
"2024/06/10 10:00",100,2.25,2.26
"2024/06/10 09:00",100,2.25,2.27
"2024/06/10 08:00",100,2.25,2.26
"2024/06/10 07:00",100,2.25,2.26
"2024/06/10 06:00",100,2.25,2.25
"2024/06/10 05:00",100,2.25,2.26
"2024/06/10 04:00",100,2.25,2.26
"2024/06/10 03:00",100,2.25,2.26
"2024/06/10 02:00",100,2.25,2.25
"2024/06/10 01:00",100,2.25,2.27
"2024/06/10 00:00",100,1.4,2.25
"2024/06/09 23:00",100,3.1,4.72
"2024/06/09 22:00",100,4.73,4.73
"2024/06/09 21:00",100,4.73,4.73
"2024/06/09 20:00",100,4.43,4.74
"2024/06/09 19:00",100,4.95,1.69
"2024/06/09 18:00",100,1.7,1.69
"2024/06/09 17:00",100,0.92,1.7
"2024/06/09 16:00",100,3.21,4.84
"2024/06/09 15:00",100,1.58,4.83
"2024/06/09 14:00",100,1.58,4.83
"2024/06/09 13:00",100,3.22,4.83
"2024/06/09 12:00",100,1.91,4.83
"2024/06/09 11:00",100,2.88,4.84
"2024/06/09 10:00",100,4.83,4.82
"2024/06/09 09:00",100,3.86,4.85
"2024/06/09 08:00",100,5.02,1.76
"2024/06/09 07:00",100,4.69,1.77
"2024/06/09 06:00",100,3.72,1.77
"2024/06/09 05:00",100,5.02,1.77
"2024/06/09 04:00",100,3.33,1.78
"2024/06/09 03:00",100,4.2,0.94
"2024/06/09 02:00",100,4.2,0.95
"2024/06/09 01:00",100,0.95,0.95
"2024/06/09 00:00",100,0.95,0.95
"2024/06/08 23:00",100,0.95,0.95
