"日時","貯水率","流入量","放流量"
"2025/07/06 00:00",98.5,0.96,0.95
"2025/07/05 23:00",98.5,0.96,0.95
"2025/07/05 22:00",98.5,0.96,0.96
"2025/07/05 21:00",98.5,0.96,0.96
"2025/07/05 20:00",98.5,1.01,0.96
"2025/07/05 19:00",98.5,0.09,1.62
"2025/07/05 18:00",98.6,1.63,1.62
"2025/07/05 17:00",98.6,0.09,1.62
"2025/07/05 16:00",98.7,1.63,1.62
"2025/07/05 15:00",98.7,0.09,1.63
"2025/07/05 14:00",98.8,1.63,1.63
"2025/07/05 13:00",98.8,0.09,1.62
"2025/07/05 12:00",98.8,1.63,1.63
"2025/07/05 11:00",98.8,1.63,1.64
"2025/07/05 10:00",98.8,0.86,1.63
"2025/07/05 09:00",98.8,0.86,1.63
"2025/07/05 08:00",98.9,0.08,1.62
"2025/07/05 07:00",99,1.32,1.62
"2025/07/05 06:00",99,0.4,1.63
"2025/07/05 05:00",99.1,1.63,1.62
"2025/07/05 04:00",99.1,0.04,1.63
"2025/07/05 03:00",99.2,0.96,0.96
"2025/07/05 02:00",99.2,0.96,0.96
"2025/07/05 01:00",99.2,0.96,0.96
"2025/07/05 00:00",99.2,0.96,0.96
"2025/07/04 23:00",99.2,0.96,0.96
"2025/07/04 22:00",99.2,0.96,0.96
"2025/07/04 21:00",99.2,0.96,0.96
"2025/07/04 20:00",99.2,1.01,0.96
"2025/07/04 19:00",99.2,1.63,1.63
"2025/07/04 18:00",99.2,0.09,1.62
"2025/07/04 17:00",99.3,1.62,1.64
"2025/07/04 16:00",99.3,0.06,1.6
"2025/07/04 15:00",99.3,1.6,1.6
"2025/07/04 14:00",99.3,0.06,1.61
"2025/07/04 13:00",99.4,1.6,1.6
"2025/07/04 12:00",99.4,0.06,1.6
"2025/07/04 11:00",99.5,1.61,1.59
"2025/07/04 10:00",99.5,0.06,1.62
"2025/07/04 09:00",99.6,1.6,1.6
"2025/07/04 08:00",99.6,0.08,1.61
"2025/07/04 07:00",99.7,1.62,1.63
"2025/07/04 06:00",99.7,0.08,1.63
"2025/07/04 05:00",99.8,1.62,1.63
"2025/07/04 04:00",99.8,1.57,1.61
"2025/07/04 03:00",99.8,0.95,0.95
"2025/07/04 02:00",99.8,0.95,0.95
"2025/07/04 01:00",99.8,0.95,0.95
"2025/07/04 00:00",99.8,0.95,0.95
"2025/07/03 23:00",99.8,0.95,0.95
