"日時","貯水率","流入量","放流量"
"2025/01/28 00:00",0,0,0
"2025/01/27 23:00",0,0,0
"2025/01/27 22:00",0,0,0
"2025/01/27 21:00",0,0,0
"2025/01/27 20:00",0,0,0
"2025/01/27 19:00",0,0,0
"2025/01/27 18:00",0,0,0
"2025/01/27 17:00",0,0,0
"2025/01/27 16:00",0,0,0
"2025/01/27 15:00",0,0,0
"2025/01/27 14:00",0,0,0
"2025/01/27 13:00",0,0,0
"2025/01/27 12:00",0,0,0
"2025/01/27 11:00",0,0,0
"2025/01/27 10:00",0,0,0
"2025/01/27 09:00",0,0,0
"2025/01/27 08:00",0,0,0
"2025/01/27 07:00",0,0,0
"2025/01/27 06:00",0,0,0
"2025/01/27 05:00",0,0,0
"2025/01/27 04:00",0,0,0
"2025/01/27 03:00",0,0,0
"2025/01/27 02:00",0,0,0
"2025/01/27 01:00",0,0,0
"2025/01/27 00:00",0,0,0
"2025/01/26 23:00",0,0,0
"2025/01/26 22:00",0,0,0
"2025/01/26 21:00",0,0,0
"2025/01/26 20:00",0,0,0
"2025/01/26 19:00",0,0,0
"2025/01/26 18:00",0,0,0
"2025/01/26 17:00",0,0,0
"2025/01/26 16:00",0,0,0
"2025/01/26 15:00",0,0,0
"2025/01/26 14:00",0,0,0
"2025/01/26 13:00",0,0,0
"2025/01/26 12:00",0,0,0
"2025/01/26 11:00",0,0,0
"2025/01/26 10:00",0,0,0
"2025/01/26 09:00",0,0,0
"2025/01/26 08:00",0,0,0
"2025/01/26 07:00",0,0,0
"2025/01/26 06:00",0,0,0
"2025/01/26 05:00",0,0,0
"2025/01/26 04:00",0,0,0
"2025/01/26 03:00",0,0,0
"2025/01/26 02:00",0,0,0
"2025/01/26 01:00",0,0,0
"2025/01/26 00:00",0,0,0
"2025/01/25 23:00",0,0,0
