"日時","貯水率","流入量","放流量"
"2025/01/23 00:00",0,0,0
"2025/01/22 23:00",0,0,0
"2025/01/22 22:00",0,0,0
"2025/01/22 21:00",0,0,0
"2025/01/22 20:00",0,0,0
"2025/01/22 19:00",0,0,0
"2025/01/22 18:00",0,0,0
"2025/01/22 17:00",0,0,0
"2025/01/22 16:00",0,0,0
"2025/01/22 15:00",0,0,0
"2025/01/22 14:00",0,0,0
"2025/01/22 13:00",0,0,0
"2025/01/22 12:00",0,0,0
"2025/01/22 11:00",0,0,0
"2025/01/22 10:00",0,0,0
"2025/01/22 09:00",0,0,0
"2025/01/22 08:00",0,0,0
"2025/01/22 07:00",0,0,0
"2025/01/22 06:00",0,0,0
"2025/01/22 05:00",0,0,0
"2025/01/22 04:00",0,0,0
"2025/01/22 03:00",0,0,0
"2025/01/22 02:00",0,0,0
"2025/01/22 01:00",0,0,0
"2025/01/22 00:00",0,0,0
"2025/01/21 23:00",0,0,0
"2025/01/21 22:00",0,0,0
"2025/01/21 21:00",0,0,0
"2025/01/21 20:00",0,0,0
"2025/01/21 19:00",0,0,0
"2025/01/21 18:00",0,0,0
"2025/01/21 17:00",0,0,0
"2025/01/21 16:00",0,0,0
"2025/01/21 15:00",0,0,0
"2025/01/21 14:00",0,0,0
"2025/01/21 13:00",0,0,0
"2025/01/21 12:00",0,0,0
"2025/01/21 11:00",0,0,0
"2025/01/21 10:00",0,0,0
"2025/01/21 09:00",0,0,0
"2025/01/21 08:00",0,0,0
"2025/01/21 07:00",0,0,0
"2025/01/21 06:00",0,0,0
"2025/01/21 05:00",0,0,0
"2025/01/21 04:00",0,0,0
"2025/01/21 03:00",0,0,0
"2025/01/21 02:00",0,0,0
"2025/01/21 01:00",0,0,0
"2025/01/21 00:00",0,0,0
"2025/01/20 23:00",0,0,0
