"日時","貯水率","流入量","放流量"
"2024/10/21 00:00",100,1.21,1.21
"2024/10/20 23:00",100,1.21,1.21
"2024/10/20 22:00",100,1.21,1.21
"2024/10/20 21:00",100,1.21,1.22
"2024/10/20 20:00",100,1.21,1.21
"2024/10/20 19:00",100,1.21,1.21
"2024/10/20 18:00",100,1.21,1.22
"2024/10/20 17:00",100,1.21,1.21
"2024/10/20 16:00",100,1.21,1.21
"2024/10/20 15:00",100,1.21,1.22
"2024/10/20 14:00",100,1.21,1.22
"2024/10/20 13:00",100,1.21,1.21
"2024/10/20 12:00",100,1.21,1.21
"2024/10/20 11:00",100,1.21,1.22
"2024/10/20 10:00",100,0.4,1.21
"2024/10/20 09:00",100,1.22,2.86
"2024/10/20 08:00",100,1.22,2.86
"2024/10/20 07:00",100,1.22,2.85
"2024/10/20 06:00",100,1.22,2.85
"2024/10/20 05:00",100,1.22,2.84
"2024/10/20 04:00",100,1.22,2.86
"2024/10/20 03:00",100,1.22,2.84
"2024/10/20 02:00",100,1.22,2.86
"2024/10/20 01:00",100,1.22,2.85
"2024/10/20 00:00",100,1.22,2.85
"2024/10/19 23:00",100,2.85,2.84
"2024/10/19 22:00",100,3.47,2.85
"2024/10/19 21:00",100,1.21,1.21
"2024/10/19 20:00",100,2.84,1.22
"2024/10/19 19:00",100,2.84,1.21
"2024/10/19 18:00",100,1.21,1.22
"2024/10/19 17:00",100,1.22,1.22
"2024/10/19 16:00",100,2.84,1.22
"2024/10/19 15:00",100,1.23,1.21
"2024/10/19 14:00",100,1.13,1.2
"2024/10/19 13:00",100,1.09,1.09
"2024/10/19 12:00",100,1.09,1.09
"2024/10/19 11:00",100,1.1,1.09
"2024/10/19 10:00",100,1.1,1.1
"2024/10/19 09:00",100,1.19,1.1
"2024/10/19 08:00",100,1.19,1.19
"2024/10/19 07:00",100,1.19,1.18
"2024/10/19 06:00",100,1.19,1.18
"2024/10/19 05:00",100,1.19,1.19
"2024/10/19 04:00",100,1.19,1.19
"2024/10/19 03:00",100,1.19,1.18
"2024/10/19 02:00",100,1.19,1.19
"2024/10/19 01:00",100,1.19,1.19
"2024/10/19 00:00",100,0.24,1.19
"2024/10/18 23:00",100,0.95,1.19
