"日時","貯水率","流入量","放流量"
"2025/02/08 00:00",0,0,0
"2025/02/07 23:00",0,0,0
"2025/02/07 22:00",0,0,0
"2025/02/07 21:00",0,0,0
"2025/02/07 20:00",0,0,0
"2025/02/07 19:00",0,0,0
"2025/02/07 18:00",0,0,0
"2025/02/07 17:00",0,0,0
"2025/02/07 16:00",0,0,0
"2025/02/07 15:00",0,0,0
"2025/02/07 14:00",0,0,0
"2025/02/07 13:00",0,0,0
"2025/02/07 12:00",0,0,0
"2025/02/07 11:00",0,0,0
"2025/02/07 10:00",0,0,0
"2025/02/07 09:00",0,0,0
"2025/02/07 08:00",0,0,0
"2025/02/07 07:00",0,0,0
"2025/02/07 06:00",0,0,0
"2025/02/07 05:00",0,0,0
"2025/02/07 04:00",0,0,0
"2025/02/07 03:00",0,0,0
"2025/02/07 02:00",0,0,0
"2025/02/07 01:00",0,0,0
"2025/02/07 00:00",0,0,0
"2025/02/06 23:00",0,0,0
"2025/02/06 22:00",0,0,0
"2025/02/06 21:00",0,0,0
"2025/02/06 20:00",0,0,0
"2025/02/06 19:00",0,0,0
"2025/02/06 18:00",0,0,0
"2025/02/06 17:00",0,0,0
"2025/02/06 16:00",0,0,0
"2025/02/06 15:00",0,0,0
"2025/02/06 14:00",0,0,0
"2025/02/06 13:00",0,0,0
"2025/02/06 12:00",0,0,0
"2025/02/06 11:00",0,0,0
"2025/02/06 10:00",0,0,0
"2025/02/06 09:00",0,0,0
"2025/02/06 08:00",0,0,0
"2025/02/06 07:00",0,0,0
"2025/02/06 06:00",0,0,0
"2025/02/06 05:00",0,0,0
"2025/02/06 04:00",0,0,0
"2025/02/06 03:00",0,0,0
"2025/02/06 02:00",0,0,0
"2025/02/06 01:00",0,0,0
"2025/02/06 00:00",0,0,0
"2025/02/05 23:00",0,0,0
